ID,SKU,Nombre,PVL (€),PCP (€),Margen (€),% Rentabilidad
1,216959,"Aceite De Ducha Atopic 500 Ml",8.00,0.95,7.05,742.11
5,219395,"Crema Exfoliante Cuerpo Manos y Pies",7.00,0.00,7.00,0.00
9,219399,"Crema Hidratante 1L",10.00,0.00,10.00,0.00
2,216961,"Crema Hidratante Atopic 500 Ml",8.00,6.40,1.60,25.00
8,219398,"Gel Aloe Vera Con Extracto De Manzanilla 500 Ml",4.00,0.00,4.00,0.00
13,219404,"Gel De Baño 3 En 1 1L",5.00,0.00,5.00,0.00
11,219401,"Gel ÍNtimo Calmante 250 Ml",6.00,360.00,-354.00,-98.33
10,219400,"Gel ÍNtimo Hidratante 250 Ml",6.00,0.00,6.00,0.00
7,219397,"Gel Refrescante 500 Ml",8.00,126.00,-118.00,-93.65
14,220375,"Ialozon Clean Spray 100 Ml",10.41,0.00,10.41,0.00
15,220381,"Ialozon Enjuague Bucal Azul 300 Ml",7.46,0.00,7.46,0.00
16,220380,"Ialozon Enjuague Bucal Rosa 300 Ml",7.46,0.00,7.46,0.00
17,220378,"Ialozon Enjuague Bucal Superhidradante 300 Ml",9.14,0.00,9.14,0.00
18,220379,"Ialozon Gel Oral 15 Ml",10.99,0.00,10.99,0.00
19,220382,"Ialozon Pasta Dentrifical Azul 100 Ml",3.99,0.00,3.99,0.00
20,220377,"Ialozon Pasta Dentrifical Rosa 100 Ml",4.34,0.00,4.34,0.00
12,219403,"Jabón Liquido Perfumado Bac Lavanda 500 Ml",3.00,0.00,3.00,0.00
6,219396,"Leche Hidratante Corporal 500 Ml.",8.00,0.00,8.00,0.00
3,216962,"Pack AtóPico Youbelle (Aceite + Hidratante)",14.00,0.00,14.00,0.00
4,216958,"Talco Liquido 250 Ml",9.00,0.00,9.00,0.00
